автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;М. И. Гоголь. (1). 23 апреля 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;М. И., А. В., Е. В., О. В. Гоголь. (1). 1 мая 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;Н. М. Языкову. (1). 5 мая 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;С. Т. Аксакову. (1). 5 мая 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;П. А Плетневу. (1). 5 мая 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;А. А. Теплову. (1). зима 1845—1846 — начало мая 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;В. А. Жуковскому. (1). 10 мая 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;А. М. Вьельгорской. (1). 14 мая 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;А О. Смирновой. (1). 6 июня 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;А П. Толстому. (1). 18 июня 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;В. А. Жуковскому. (1). 27 июня 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;А. О. Смирновой. (1). 4 июля 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;П. А Плетневу. (1). 4 июля 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;А О. Россету. (1). 6 июля 1846.;;;;;
