"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url"
"Валуев, П. А.";"Валуев";"Пётр Александрович";"П. А.";"Валуев";"Валуеву";"Валуев, Пётр Александрович";"Валуев, П. А.";"Q1414677";"https://www.wikidata.org/wiki/Q1414677"
"Мансуров, П. Б.";"Мансуров";"П. Б.";"П. Б.";"Мансуров";"Мансурову";"";"Мансуров, П. Б.";"";""
"Зиновьев, П. В.";"Зиновьев";"П. В.";"П. В.";"Зиновьев";"Зиновьеву";"";"Зиновьев, П. В.";"";""
"Нащокино, П. В.";"Нащокино";"Павел Воинович";"П. В.";"Нащокин";"Нащокину";"Нащокин, Павел Воинович";"Нащокин, П. В.";"Q4315265";"https://www.wikidata.org/wiki/Q4315265"
"Гиляров-Платонов, П.";"Гиляров-Платонов";"П.";"П.";"Гиляров-Платонов";"Гилярову-Платонову";"";"Гиляров-Платонов, П.";"";""
"Киселёв, П. Д.";"Киселёв";"П. Д.";"П. Д.";"Киселёв";"Киселеву";"";"Киселёв, П. Д.";"Q717801";"https://www.wikidata.org/wiki/Q717801"
"Вяземский, П. П.";"Вяземский";"П. П.";"П. П.";"Вяземский";"Вяземскому";"";"Вяземский, П. П.";"";""
"Веретенников, П. Ф.";"Веретенников";"П. Ф.";"П. Ф.";"Веретенников";"Веретенникову";"";"Веретенников, П. Ф.";"";""
"Чаадаев, П. Я.";"Чаадаев";"Пётр Яковлевич";"П. Я.";"Чаадаев";"Чаадаеву";"Чаадаев, Пётр Яковлевич";"Чаадаев, П. Я.";"Q471220";"https://www.wikidata.org/wiki/Q471220"
"Николаевский, С. А.";"Николаевский";"С. А.";"С. А.";"Николаевский";"Николаевскому";"";"Николаевский, С. А.";"";""
"Полторацкий, С. Д.";"Полторацкий";"С. Д.";"С. Д.";"Полторацкий";"Полторацкому";"";"Полторацкий, С. Д.";"";""
"Шереметев, С. Д.";"Шереметев";"С. Д.";"С. Д.";"Шереметев";"Шереметеву";"";"Шереметев, С. Д.";"";""
"Батюшкова, С. Н.";"Батюшкова";"С. Н.";"С. Н.";"Батюшкова";"Батюшковой";"";"Батюшкова, С. Н.";"";""
"Стендаль";"Стендаль";"";"";"Стендаль";"Стендалю";"";"Стендаль";"Q502";"https://www.wikidata.org/wiki/Q502"
"Управляющий в Остафьеве";"Управляющий в Остафьеве";"";"";"Управляющий в Остафьеве";"Управляющему в Остафьеве";"";"Управляющий в Остафьеве";"";""
"Шатобриан, Ф.-Р.";"Шатобриан";"Ф.-Р.";"Ф.-Р.";"Шатобриан";"Шатобриану";"";"Шатобриан, Ф.-Р.";"";""
"Мусина-Пушкина, Э. К.";"Мусина-Пушкина";"Э. К.";"Э. К.";"Мусина-Пушкина";"Мусиной-Пушкиной";"";"Мусина-Пушкина, Э. К.";"";""
"Гагарин, Иван Сергеевич";"Гагарин";"Иван Сергеевич";"И. С.";"Гагарин";"Гагарин";"Гагарин, Иван Сергеевич";"Гагарин, И. С.";"Q2598344";"https://www.wikidata.org/wiki/Q2598344"
"Гаевский, Виктор Павлович";"Гаевский";"Виктор Павлович";"В. П.";"Гаевский";"Гаевский";"Гаевский, Виктор Павлович";"Гаевский, В. П.";"Q4131613";"https://www.wikidata.org/wiki/Q4131613"
"Гай, Людевит";"Гай";"Людевит";"Л.";"Гай";"Гай";"Гай, Людевит";"Гай, Л.";"Q352617";"https://www.wikidata.org/wiki/Q352617"
"Гайдебуров, Павел Александрович";"Гайдебуров";"Павел Александрович";"П. А.";"Гайдебуров";"Гайдебуров";"Гайдебуров, Павел Александрович";"Гайдебуров, П. А.";"Q4131962";"https://www.wikidata.org/wiki/Q4131962"
"Галахов, Алексей Дмитриевич";"Галахов";"Алексей Дмитриевич";"А. Д.";"Галахов";"Галахов";"Галахов, Алексей Дмитриевич";"Галахов, А. Д.";"Q4132269";"https://www.wikidata.org/wiki/Q4132269"
"Галахов, Иван Павлович";"Галахов";"Иван Павлович";"И. П.";"Галахов";"Галахов";"Галахов, Иван Павлович";"Галахов, И. П.";"";""
"Ган, Елена Андреевна (Р-ва Зенеида)";"Ган";"Елена Андреевна (Р-ва Зенеида)";"Е. А.";"Ган";"Ган";"Ган, Елена Андреевна (Р-ва Зенеида)";"Ган, Е. А.";"";""
"Сенковская, А. А.";"Сенковская";"А. А.";"А. А.";"Сенковская";"Сенковской";"";"Сенковская, А. А.";"";""
"Фадеева, Н. А.";"Фадеева";"Н. А.";"Н. А.";"Фадеева";"Фадеевой";"";"Фадеева, Н. А.";"";""
"Сенковский, О. И.";"Сенковский";"Осип Иванович";"О. И.";"Сенковский";"Сенковскому";"Сенковский, Осип Иванович";"Сенковский, О. И.";"Q1229486";"https://www.wikidata.org/wiki/Q1229486"
"Кривцов, С. И.";"Кривцов";"С. И.";"С. И.";"Кривцов";"Кривцову";"";"Кривцов, С. И.";"";""
"Гандольфи, Дж.-Б.";"Гандольфи";"Дж.-Б.";"Д.";"Гандольфи";"Гандольфи";"Гандольфи, Дж.-Б.";"Гандольфи, Д.";"";""
"Ганка, Вацлав";"Ганка";"Вацлав";"В.";"Ганка";"Ганка";"Ганка, Вацлав";"Ганка, В.";"Q1354493";"https://www.wikidata.org/wiki/Q1354493"
"Гардовский";"Гардовский";"";"";"Гардовский";"Гардовский";"Гардовский";"Гардовский, ";"";""
"Гарновский, М.";"Гарновский";"М.";"М.";"Гарновский";"Гарновский";"Гарновский, М.";"Гарновский, М.";"";""
"Гаршин, Всеволод Михайлович";"Гаршин";"Всеволод Михайлович";"В. М.";"Гаршин";"Гаршин";"Гаршин, Всеволод Михайлович";"Гаршин, В. М.";"Q333222";"https://www.wikidata.org/wiki/Q333222"
", ?";"";"?";"?";"";"";"";", ?";"";""
"Гаршин, В. М.";"Гаршин";"Всеволод Михайлович";"В. М.";"Гаршин";"Гаршин";"Гаршин, Всеволод Михайлович";"Гаршин, В. М.";"Q333222";"https://www.wikidata.org/wiki/Q333222"
"Лорис-Меликов, М. Т.";"Лорис-Меликов";"М. Т.";"М. Т.";"Лорис-Меликов";"Лорис-Меликову";"";"Лорис-Меликов, М. Т.";"Q460052";"https://www.wikidata.org/wiki/Q460052"
"Официальное лицо";"Официальное лицо";"";"";"Официальное лицо";"Официальному лицу";"";"Официальное лицо";"";""
"Павленков, Ф. Ф.";"Павленков";"Ф. Ф.";"Ф. Ф.";"Павленков";"Павленкову";"";"Павленков, Ф. Ф.";"";""
"Ге, Николай Николаевич";"Ге";"Николай Николаевич";"Н. Н.";"Ге";"Ге";"Ге, Николай Николаевич";"Ге, Н. Н.";"Q28243766";"https://www.wikidata.org/wiki/Q28243766"
"Веселитская, Л. И.";"Веселитская";"Лидия Ивановна (В. Микулич";"Л. И.";"Веселитская";"Веселитской";"Веселитская, Лидия Ивановна (В. Микулич, Л. Чернавина)";"Веселитская, Л. И.";"";""
"Гедеонов, Александр Михайлович";"Гедеонов";"Александр Михайлович";"А. М.";"Гедеонов";"Гедеонов";"Гедеонов, Александр Михайлович";"Гедеонов, А. М.";"Q12857495";"https://www.wikidata.org/wiki/Q12857495"
"Гейне, Генрих";"Гейне";"Генрих";"Г.";"Гейне";"Гейне";"Гейне, Генрих";"Гейне, Г.";"Q44403";"https://www.wikidata.org/wiki/Q44403"
"Геккерн, Луи";"Геккерн";"Луи";"Л.";"Геккерн";"Геккерн";"Геккерн, Луи";"Геккерн, Л.";"Q2393417";"https://www.wikidata.org/wiki/Q2393417"
"Гензельт, Адольф Львович";"Гензельт";"Адольф Львович";"А. Л.";"Гензельт";"Гензельт";"Гензельт, Адольф Львович";"Гензельт, А. Л.";"Q362139";"https://www.wikidata.org/wiki/Q362139"
"Генкель, Вильгельм (Генкель, Василий Егорович)";"Генкель";"Вильгельм (Генкель";"В. (.";"Генкель";"Генкель";"Генкель, Вильгельм (Генкель, Василий Егорович)";"Генкель, В. (.";"Q2573183";"https://www.wikidata.org/wiki/Q2573183"
"Герасимовский, Лев";"Герасимовский";"Лев";"Л.";"Герасимовский";"Герасимовский";"Герасимовский, Лев";"Герасимовский, Л.";"";""
"Гербель, Николай Васильевич";"Гербель";"Николай Васильевич";"Н. В.";"Гербель";"Гербель";"Гербель, Николай Васильевич";"Гербель, Н. В.";"Q4136971";"https://www.wikidata.org/wiki/Q4136971"
"Гернгросс, Николай Александрович";"Гернгросс";"Николай Александрович";"Н. А.";"Гернгросс";"Гернгросс";"Гернгросс, Николай Александрович";"Гернгросс, Н. А.";"";""
"Герц, Карл Карлович";"Герц";"Карл Карлович";"К. К.";"Герц";"Герц";"Герц, Карл Карлович";"Герц, К. К.";"Q15992612";"https://www.wikidata.org/wiki/Q15992612"
"Герцен, Александр Александрович";"Герцен";"Александр Александрович";"А. А.";"Герцен";"Герцен";"Герцен, Александр Александрович";"Герцен, А. А.";"Q2833388";"https://www.wikidata.org/wiki/Q2833388"
"Герцен, Александр Иванович";"Герцен";"Александр Иванович";"А. И.";"Герцен";"Герцен";"Герцен, Александр Иванович";"Герцен, А. И.";"Q201221";"https://www.wikidata.org/wiki/Q201221"
"Захарьина, Н. А.";"Захарьина";"Н. А.";"Н. А.";"Захарьина";"Захарьиной";"";"Захарьина, Н. А.";"";""
"Герцен, Наталья Александровна (Захарьина)";"Герцен";"Наталья Александровна (Захарьина)";"Н. А.";"Герцен";"Герцен";"Герцен, Наталья Александровна (Захарьина)";"Герцен, Н. А.";"Q24642720";"https://www.wikidata.org/wiki/Q24642720"
"Герцен, Ольга Александровна ";"Герцен";"Ольга Александровна";"О. А.";"Герцен";"Герцен";"Герцен, Ольга Александровна ";"Герцен, О. А.";"";""
"Гиляровский, Владимир Алексеевич";"Гиляровский";"Владимир Алексеевич";"В. А.";"Гиляровский";"Гиляровский";"Гиляровский, Владимир Алексеевич";"Гиляровский, В. А.";"Q521170";"https://www.wikidata.org/wiki/Q521170"
"Измайлов, А. А.";"Измайлов";"А. А.";"А. А.";"Измайлов";"Измайлову";"";"Измайлов, А. А.";"Q4198599";"https://www.wikidata.org/wiki/Q4198599"
"Гиляровские";"Гиляровские";"";"";"Гиляровские";"Гиляровским";"";"Гиляровские";"Q521170";"https://www.wikidata.org/wiki/Q521170"
"ред. «Русского слова»";"ред. «Русского слова»";"";"";"ред. «Русского слова»";"ред. «Русского слова»";"";"ред. «Русского слова»";"";""
"Гирс, Дмитрий Константинович";"Гирс";"Дмитрий Константинович";"Д. К.";"Гирс";"Гирс";"Гирс, Дмитрий Константинович";"Гирс, Д. К.";"Q1071573";"https://www.wikidata.org/wiki/Q1071573"
"Глинка, Авдотья Павловна (Голенищева-Кутузова)";"Глинка";"Авдотья Павловна (Голенищева-Кутузова)";"А. П.";"Глинка";"Глинка";"Глинка, Авдотья Павловна (Голенищева-Кутузова)";"Глинка, А. П.";"Q2873374";"https://www.wikidata.org/wiki/Q2873374"
"Глинка, Григорий Андреевич";"Глинка";"Григорий Андреевич";"Г. А.";"Глинка";"Глинка";"Глинка, Григорий Андреевич";"Глинка, Г. А.";"Q4139771";"https://www.wikidata.org/wiki/Q4139771"
"Глинка, Михаил Иванович";"Глинка";"Михаил Иванович";"М. И.";"Глинка";"Глинка";"Глинка, Михаил Иванович";"Глинка, М. И.";"Q181885";"https://www.wikidata.org/wiki/Q181885"
"Глинка, Сергей Николаевич";"Глинка";"Сергей Николаевич";"С. Н.";"Глинка";"Глинка";"Глинка, Сергей Николаевич";"Глинка, С. Н.";"Q557124";"https://www.wikidata.org/wiki/Q557124"
"Аракчеев, А. А.";"Аракчеев";"А. А.";"А. А.";"Аракчеев";"Аракчееву";"";"Аракчеев, А. А.";"Q315858";"https://www.wikidata.org/wiki/Q315858"
"Греч, А. Н.";"Греч";"А. Н.";"А. Н.";"Греч";"Гречу";"";"Греч, А. Н.";"";""
"Шульгин, И. П.";"Шульгин";"И. П.";"И. П.";"Шульгин";"Шульгину";"";"Шульгин, И. П.";"";""
"Московское цензурный комитет";"Московское цензурный комитет";"";"";"Московское цензурный комитет";"Московскому цензурному комитету";"";"Московское цензурный комитет";"";""
"Глинка, Федор Николаевич";"Глинка";"Федор Николаевич";"Ф. Н.";"Глинка";"Глинка";"Глинка, Федор Николаевич";"Глинка, Ф. Н.";"Q180545";"https://www.wikidata.org/wiki/Q180545"
"Татищево, А. И.";"Татищево";"А. И.";"А. И.";"Татищево";"Татищеву";"";"Татищево, А. И.";"";""
"Каразин, В. Н.";"Каразин";"В. Н.";"В. Н.";"Каразин";"Каразину";"";"Каразин, В. Н.";"";""
"Хатов, И. И.";"Хатов";"И. И.";"И. И.";"Хатов";"Хатову";"";"Хатов, И. И.";"";""
"издатели «Северной пчелы»";"издатели «Северной пчелы»";"";"";"издатели «Северной пчелы»";"издателям «Северной пчелы»";"";"издатели «Северной пчелы»";"";""
"Рабус, К.";"Рабус";"К.";"К.";"Рабус";"Рабусу";"";"Рабус, К.";"";""
"Милорадович, М. А.";"Милорадович";"М. А.";"М. А.";"Милорадович";"Милорадовичу";"";"Милорадович, М. А.";"";""
"Лонгинов, М. Н.";"Лонгинов";"Михаил Николаевич";"М. Н.";"Лонгинов";"Лонгинову";"Лонгинов, Михаил Николаевич";"Лонгинов, М. Н.";"Q4266412";"https://www.wikidata.org/wiki/Q4266412"
"Лонгинов, Н. М.";"Лонгинов";"Н. М.";"Н. М.";"Лонгинов";"Лонгинову";"";"Лонгинов, Н. М.";"";""
"Мордвинов, Н. С.";"Мордвинов";"Н. С.";"Н. С.";"Мордвинов";"Мордвинову";"";"Мордвинов, Н. С.";"Q372087";"https://www.wikidata.org/wiki/Q372087"
"Щебальский, П. К.";"Щебальский";"Пётр Карлович";"П. К.";"Щебальский";"Щебальскому";"Щебальский, Пётр Карлович";"Щебальский, П. К.";"Q4528431";"https://www.wikidata.org/wiki/Q4528431"
"председатель Общества любителей российской словесности";"председатель Общества любителей российской словесности";"";"";"председатель Общества любителей российской словесности";"председателю Общества любителей российской словесности";"";"председатель Общества любителей российской словесности";"";""
"Глинки, С. Н.";"Глинки";"С. Н.";"С. Н.";"Глинки";"Глинкам";"";"Глинки, С. Н.";"";""
"Глинки, М. В.";"Глинки";"М. В.";"М. В.";"Глинки";"Глинкам";"";"Глинки, М. В.";"";""
"Глинка, Фёдор Николаевич";"Глинка";"Фёдор Николаевич";"Ф. Н.";"Глинка";"Глинка";"Глинка, Фёдор Николаевич";"Глинка, Ф. Н.";"Q180545";"https://www.wikidata.org/wiki/Q180545"
"Гнедич, Николай Иванович";"Гнедич";"Николай Иванович";"Н. И.";"Гнедич";"Гнедич";"Гнедич, Николай Иванович";"Гнедич, Н. И.";"Q665996";"https://www.wikidata.org/wiki/Q665996"
"Батюшкова, А. Н.";"Батюшкова";"А. Н.";"А. Н.";"Батюшкова";"Батюшковой";"";"Батюшкова, А. Н.";"";""
"Зонтаг, А. П.";"Зонтаг";"А. П.";"А. П.";"Зонтаг";"Зонтаг";"";"Зонтаг, А. П.";"";""
"Юшневский, А. П.";"Юшневский";"А. П.";"А. П.";"Юшневский";"Юшневскому";"";"Юшневский, А. П.";"";""
"Смирдин, А. Ф.";"Смирдин";"А. Ф.";"А. Ф.";"Смирдин";"Смирдину";"";"Смирдин, А. Ф.";"";""
"Капнист, В. В.";"Капнист";"Василий Васильевич";"В. В.";"Капнист";"Капнисту";"Капнист, Василий Васильевич";"Капнист, В. В.";"Q713704";"https://www.wikidata.org/wiki/Q713704"
"Державин, Г. Р.";"Державин";"Г. Р.";"Г. Р.";"Державин";"Державину";"";"Державин, Г. Р.";"";""
"Гнедич, И. П.";"Гнедич";"И. П.";"И. П.";"Гнедич";"Гнедичу";"";"Гнедич, И. П.";"";""
"Гнедич, И. Ю.";"Гнедич";"И. Ю.";"И. Ю.";"Гнедич";"Гнедичу";"";"Гнедич, И. Ю.";"";""
"Константин Павлович";"Константин Павлович";"";"";"Константин Павлович";"Константину Павловичу";"";"Константин Павлович";"";""
"Сушков, П. В.";"Сушков";"П. В.";"П. В.";"Сушков";"Сушкову";"";"Сушков, П. В.";"";""
"Полозов";"Полозов";"";"";"Полозов";"Полозову";"";"Полозов";"Q4370574";"https://www.wikidata.org/wiki/Q4370574"
"Уваров, С. С.";"Уваров";"Сергей Семёнович";"С. С.";"Уваров";"Уварову";"Уваров, Сергей Семёнович";"Уваров, С. С.";"Q704501";"https://www.wikidata.org/wiki/Q704501"
"Гнедич, Пётр Петрович";"Гнедич";"Пётр Петрович";"П. П.";"Гнедич";"Гнедич";"Гнедич, Пётр Петрович";"Гнедич, П. П.";"Q4140637";"https://www.wikidata.org/wiki/Q4140637"
"Южин-Сумбатов, А. И.";"Южин-Сумбатов";"Александр Иванович (Сумбатов)";"А. И.";"Южин";"Южину-Сумбатову";"Южин, Александр Иванович (Сумбатов)";"Южин, А. И.";"Q2011866";"https://www.wikidata.org/wiki/Q2011866"
"Гоголь, Николай Васильевич";"Гоголь";"Николай Васильевич";"Н. В.";"Гоголь";"Гоголь";"Гоголь, Николай Васильевич";"Гоголь, Н. В.";"Q43718";"https://www.wikidata.org/wiki/Q43718"
"Россет, А О.";"Россет";"А О.";"А О.";"Россет";"Россету";"";"Россет, А О.";"";""
"Смирнова, А О.";"Смирнова";"А О.";"А О.";"Смирнова";"Смирновой";"";"Смирнова, А О.";"";""
"Толстой, А П.";"Толстой";"А П.";"А П.";"Толстой";"Толстому";"";"Толстой, А П.";"Q2629245";"https://www.wikidata.org/wiki/Q2629245"
"Данилевский, А С.";"Данилевский";"А С.";"А С.";"Данилевский";"Данилевскому";"";"Данилевский, А С.";"";""
"Дегуров, А. А.";"Дегуров";"А. А.";"А. А.";"Дегуров";"Дегурову";"";"Дегуров, А. А.";"";""
"Иванов, А. А.";"Иванов";"А. А.";"А. А.";"Иванов";"Иванову";"";"Иванов, А. А.";"Q4195939";"https://www.wikidata.org/wiki/Q4195939"
"Теплов, А. А.";"Теплов";"А. А.";"А. А.";"Теплов";"Теплову";"";"Теплов, А. А.";"";""
"Гоголь, А. В.";"Гоголь";"А. В.";"А. В.";"Гоголь";"Гоголь";"";"Гоголь, А. В.";"";""
"Гоголь, Е. В.";"Гоголь";"Е. В.";"Е. В.";"Гоголь";"Гоголь";"";"Гоголь, Е. В.";"";""
"Гоголь, О. В.";"Гоголь";"О. В.";"О. В.";"Гоголь";"Гоголь";"";"Гоголь, О. В.";"";""
"Толстая, А. Г.";"Толстая";"А. Г.";"А. Г.";"Толстая";"Толстой";"";"Толстая, А. Г.";"";""
"Вьельгорская, А. М.";"Вьельгорская";"А. М.";"А. М.";"Вьельгорская";"Вьельгорской";"";"Вьельгорская, А. М.";"";""
"Маркович, А. М.";"Маркович";"А. М.";"А. М.";"Маркович";"Марковичу";"";"Маркович, А. М.";"Q4153024";"https://www.wikidata.org/wiki/Q4153024"
"Погодина, А. М.";"Погодина";"А. М.";"А. М.";"Погодина";"Погодиной";"";"Погодина, А. М.";"";""
"Трахимовский, А. М.";"Трахимовский";"А. М.";"А. М.";"Трахимовский";"Трахимовскому";"";"Трахимовский, А. М.";"";""
"Армфелёд, А. О.";"Армфелёд";"А. О.";"А. О.";"Армфелёд";"Армфельду";"";"Армфелёд, А. О.";"";""
"Ермолова, А. П.";"Ермолова";"А. П.";"А. П.";"Ермолова";"Ермоловой";"";"Ермолова, А. П.";"";""
"Толстой, А. П.";"Толстой";"А. П.";"А. П.";"Толстой";"Толстому";"";"Толстой, А. П.";"Q2629245";"https://www.wikidata.org/wiki/Q2629245"
"Плетнёв, А.";"Плетнёв";"А.";"А.";"Плетнёв";"Плетневу";"";"Плетнёв, А.";"Q2993843";"https://www.wikidata.org/wiki/Q2993843"
"А. С Данилевский";"А. С Данилевский";"";"";"А. С Данилевский";"А. С Данилевскому";"";"А. С Данилевский";"";""
"Данилевский, А. С.";"Данилевский";"А. С.";"А. С.";"Данилевский";"Данилевскому";"";"Данилевский, А. С.";"";""
"Данилевские, А. С.";"Данилевские";"А. С.";"А. С.";"Данилевские";"Данилевским";"";"Данилевские, А. С.";"";""
"Данилевские, У. Г.";"Данилевские";"У. Г.";"У. Г.";"Данилевские";"Данилевским";"";"Данилевские, У. Г.";"";""
"Архиепископ Иннокентий";"Архиепископ Иннокентий";"";"";"Архиепископ Иннокентий";"Архиепископу Иннокентию";"";"Архиепископ Иннокентий";"Q4201227";"https://www.wikidata.org/wiki/Q4201227"
"Архимандрит Моисей";"Архимандрит Моисей";"";"";"Архимандрит Моисей";"Архимандриту Моисею";"";"Архимандрит Моисей";"";""
"Богдан Залесский";"Богдан Залесский";"";"";"Богдан Залесский";"Богдану Залесскому";"";"Богдан Залесский";"";""
"В. А Жуковский";"В. А Жуковский";"";"";"В. А Жуковский";"В. А Жуковскому";"";"В. А Жуковский";"Q157623";"https://www.wikidata.org/wiki/Q157623"
"Гоголь, В. А.";"Гоголь";"В. А.";"В. А.";"Гоголь";"Гоголю";"";"Гоголь, В. А.";"";""
"Перовский, В. А.";"Перовский";"В. А.";"В. А.";"Перовский";"Перовскому";"";"Перовский, В. А.";"Q2632764";"https://www.wikidata.org/wiki/Q2632764"
"Соллогубу, В. А.";"Соллогубу";"Владимир Александрович";"В. А.";"Соллогуб";"Соллогубу";"Соллогуб, Владимир Александрович";"Соллогуб, В. А.";"Q720198";"https://www.wikidata.org/wiki/Q720198"
"Гоголи, В. А.";"Гоголи";"В. А.";"В. А.";"Гоголи";"Гоголям";"";"Гоголи, В. А.";"";""
"Гоголи, М. И.";"Гоголи";"М. И.";"М. И.";"Гоголи";"Гоголям";"";"Гоголи, М. И.";"";""
"Львов, В. В.";"Львов";"В. В.";"В. В.";"Львов";"Львову";"";"Львов, В. В.";"";""
"Тарновский, В. В.";"Тарновский";"В. В.";"В. В.";"Тарновский";"Тарновскому";"";"Тарновский, В. В.";"Q2896250";"https://www.wikidata.org/wiki/Q2896250"
"Быков, В. И.";"Быков";"Василий Иванович";"В. И.";"Быков";"Быкову";"Быков, Василий Иванович";"Быков, В. И.";"";""
"Усачёв, В. И.";"Усачёв";"В. И.";"В. И.";"Усачёв";"Усачеву";"";"Усачёв, В. И.";"";""
"Быковы, В. И.";"Быковы";"Василий Иванович";"В. И.";"Быков";"Быковым";"Быков, Василий Иванович";"Быков, В. И.";"Q4100955";"https://www.wikidata.org/wiki/Q4100955"
"Быковы, Е. В.";"Быковы";"Е. В.";"Е. В.";"Быков";"Быковым";"";"Быков, Е. В.";"";""
"Лешков, В. Н.";"Лешков";"В. Н.";"В. Н.";"Лешков";"Лешкову";"";"Лешков, В. Н.";"";""
"Репнина, В. Н.";"Репнина";"В. Н.";"В. Н.";"Репнина";"Репниной";"";"Репнина, В. Н.";"";""
"Балабина, В. О.";"Балабина";"В. О.";"В. О.";"Балабина";"Балабиной";"";"Балабина, В. О.";"";""
"Косяровская, В. П.";"Косяровская";"В. П.";"В. П.";"Косяровская";"Косяровской";"";"Косяровская, В. П.";"";""
"Г. А. фон-Щверин";"Г. А. фон-Щверин";"";"";"Г. А. фон-Щверин";"Г. А. фон-Щверину";"";"Г. А. фон-Щверин";"";""
"Высоцкий, Г. И.";"Высоцкий";"Г. И.";"Г. И.";"Высоцкий";"Высоцкому";"";"Высоцкий, Г. И.";"";""
"Спасский, Г. И.";"Спасский";"Григорий Иванович";"Г. И.";"Спасский";"Спасскому";"Спасский, Григорий Иванович";"Спасский, Г. И.";"Q4430910";"https://www.wikidata.org/wiki/Q4430910"
"Рейтёрн, Г.";"Рейтёрн";"Г.";"Г.";"Рейтёрн";"Рейтерну";"";"Рейтёрн, Г.";"";""
"Гартман";"Гартман";"";"";"Гартман";"Гартману";"";"Гартман";"Q4133954";"https://www.wikidata.org/wiki/Q4133954"
"Бенардаки, Д. Е.";"Бенардаки";"Д. Е.";"Д. Е.";"Бенардаки";"Бенардаки";"";"Бенардаки, Д. Е.";"";""
"Малиновский, Д. К.";"Малиновский";"Д. К.";"Д. К.";"Малиновский";"Малиновскому";"";"Малиновский, Д. К.";"";""
"Погодина, Е. В.";"Погодина";"Е. В.";"Е. В.";"Погодина";"Погодиной";"";"Погодина, Е. В.";"";""
"Черткова, Е. Г.";"Черткова";"Е. Г.";"Е. Г.";"Черткова";"Чертковой";"";"Черткова, Е. Г.";"";""
"Репнина, Е. П.";"Репнина";"Е. П.";"Е. П.";"Репнина";"Репниной";"";"Репнина, Е. П.";"";""
"Бецком, И. Е.";"Бецком";"И. Е.";"И. Е.";"Бецком";"Бецкому";"";"Бецком, И. Е.";"";""
"Барановский, И. И.";"Барановский";"И. И.";"И. И.";"Барановский";"Барановскому";"";"Барановский, И. И.";"Q4077856";"https://www.wikidata.org/wiki/Q4077856"
"Срезневский, И. И.";"Срезневский";"Измаил Иванович";"И. И.";"Срезневский";"Срезневскому";"Срезневский, Измаил Иванович";"Срезневский, И. И.";"Q2992575";"https://www.wikidata.org/wiki/Q2992575"
"Прокопович, И. Я.";"Прокопович";"И. Я.";"И. Я.";"Прокопович";"Прокоповичу";"";"Прокопович, И. Я.";"";""
"Иеромонах Филарет";"Иеромонах Филарет";"";"";"Иеромонах Филарет";"Иеромонаху Филарету";"";"Иеромонах Филарет";"Q64667045";"https://www.wikidata.org/wiki/Q64667045"
"Иеросхимонах Макарий";"Иеросхимонах Макарий";"";"";"Иеросхимонах Макарий";"Иеросхимонаху Макарию";"";"Иеросхимонах Макарий";"";""
"Борисов, Иннокентию А.";"Борисов";"Иннокентию А.";"Иннокентию А.";"Борисов";"Борисову";"";"Борисов, Иннокентию А.";"";""
"Марков, К. И.";"Марков";"К. И.";"К. И.";"Марков";"Маркову";"";"Марков, К. И.";"";""
"Базили, К. М.";"Базили";"К. М.";"К. М.";"Базили";"Базили";"";"Базили, К. М.";"";""
"Вьельгорская, Л. К.";"Вьельгорская";"Л. К.";"Л. К.";"Вьельгорская";"Вьельгорской";"";"Вьельгорская, Л. К.";"";""
"Вьельгорские, Л. К.";"Вьельгорские";"Л. К.";"Л. К.";"Вьельгорские";"Вьельгорским";"";"Вьельгорские, Л. К.";"";""
"Вьельгорские, А М.";"Вьельгорские";"А М.";"А М.";"Вьельгорские";"Вьельгорским";"";"Вьельгорские, А М.";"";""
"Соллогуб, Л. К.";"Соллогуб";"Л. К.";"Л. К.";"Соллогуб";"Соллогуб";"";"Соллогуб, Л. К.";"";""
"А. М. Вьельгорские Соллогуб";"А. М. Вьельгорские Соллогуб";"";"";"А. М. Вьельгорские Соллогуб";"А. М. Вьельгорским Соллогуб";"";"А. М. Вьельгорские Соллогуб";"";""
"Соллогуб, С. М.";"Соллогуб";"Софья Михайловна";"С. М.";"Соллогуб";"Соллогуб";"Соллогуб, Софья Михайловна";"Соллогуб, С. М.";"";""
"Вьельгорские, А. М.";"Вьельгорские";"А. М.";"А. М.";"Вьельгорские";"Вьельгорским";"";"Вьельгорские, А. М.";"";""
"Погодин, Л. П.";"Погодин";"Л. П.";"Л. П.";"Погодин";"Погодину";"";"Погодин, Л. П.";"";""
"Базили, М. А.";"Базили";"М. А.";"М. А.";"Базили";"Базили";"";"Базили, М. А.";"";""
"Дондуков-Корсаков, М. А.";"Дондуков-Корсаков";"Михаил Александрович";"М. А.";"Дондуков-Корсаков";"Дондукову-Корсакову";"Дондуков-Корсаков, Михаил Александрович";"Дондуков-Корсаков, М. А.";"Q4166139";"https://www.wikidata.org/wiki/Q4166139"
"Константиновский, М. А.";"Константиновский";"М. А.";"М. А.";"Константиновский";"Константиновскому";"";"Константиновский, М. А.";"";""
"Гоголь, М. В.";"Гоголь";"М. В.";"М. В.";"Гоголь";"Гоголь";"";"Гоголь, М. В.";"Q43718";"https://www.wikidata.org/wiki/Q43718"
"Вьельгорская, М.";"Вьельгорская";"М.";"М.";"Вьельгорская";"Вьельгорской";"";"Вьельгорская, М.";"";""
