автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Н. И. Баксту. (1). 10 марта 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Е. Е. Ламберт. (1). 10 марта 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Е. Т. Сливицкой. (1). 15 марта 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;П. В. Анненкову. (1). 25 марта 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;А. А. Фету. (1). 25 марта 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;П. В. Анненкову. (1). 6 апреля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Людвигу Пичу. (1). 9 апреля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Полине Брюэр. (1). 10 апреля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;П. В. Анненкову. (1). 12 апреля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;M. Н. Каткову. (1). 13 апреля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;А. М. Жемчужникову. (1). 6—27 апреля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;А. М. Жемчужникову. (1). 1—29 апреля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;А. М. Жемчужникову, М. В. Авдееву и Ег. П. Ковалевскому. (1). Апрель 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;М. В. Авдееву. (1). 1 мая 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Я. П. Полонскому. (1). 1 мая 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Людвигу Пичу. (1). 5 мая 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Э. Ф. Раден. (1). 9 мая 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Полине Впардо. (1). 17 мая 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Кларе Тургеневой. (1). 17 мая 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;H. Н. Рашот. (1). 22 мая 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;И. П. Борисову. (1). 25 мая 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Людвигу Пичу. (1). 26 мая 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Жюлю Этцелю. (1). 26 мая 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;А. М. Жемчужникову. (1). 30 мая 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;О. А. Новиковой. (1). 4 июня 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Фридриху Боденштедту. (1). 13 июня 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;А. А. Фету. (1). 15 июня 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Максимилиану Фредро. (1). 21 июня 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Людвигу Пичу. (1). 23 июня 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;О. А. Новиковой. (1). 28 июня 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Жюлю Этцелю. (1). 16 июля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;H. H. Рашет. (1). 17 июля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;M. Н. Каткову. (1). 26 июля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Полине Брюэр. (1). 3 августа 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;M. H. Каткову. (1). 3 августа 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Людвигу Пичу. (1). 3 августа 1866.;;;;;
