"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url"
"Агеев, А. Н.";"Агеев";"А. Н.";"А. Н.";"Агеев";"Агееву";"";"Агеев, А. Н.";"";""
"Агент ""Мессаджери Маритим""";"Агент ""Мессаджери Маритим""";"";"";"Агент ""Мессаджери Маритим""";"Агенту ""Мессаджери Маритим""";"";"Агент ""Мессаджери Маритим""";"";""
"Ададуров, М.";"Ададуров";"М.";"М.";"Ададуров";"Ададурову";"";"Ададуров, М.";"";""
"Аделунг, Ф. П.";"Аделунг";"Фёдор Павлович";"Ф. П.";"Аделунг";"Аделунгу";"Аделунг, Фёдор Павлович";"Аделунг, Ф. П.";"";""
"Аделунг, Фёдор Павлович";"Аделунг";"Фёдор Павлович";"Ф. П.";"Аделунг";"Аделунг";"Аделунг, Фёдор Павлович";"Аделунг, Ф. П.";"";""
"Адеркас, Б. А.";"Адеркас";"Борис Антонович";"Б. А.";"Адеркас";"Адеркасу";"Адеркас, Борис Антонович";"Адеркас, Б. А.";"";""
"Адеркас, Борис Антонович";"Адеркас";"Борис Антонович";"Б. А.";"Адеркас";"Адеркас";"Адеркас, Борис Антонович";"Адеркас, Б. А.";"";""
"Адин Балл";"Адин Балл";"";"";"Адин Балл";"Адину Баллу";"";"Адин Балл";"";""
"Адлерберг, Александр Владимирович";"Адлерберг";"Александр Владимирович";"А. В.";"Адлерберг";"Адлерберг";"Адлерберг, Александр Владимирович";"Адлерберг, А. В.";"";""
"Адлерберг, В. Ф.";"Адлерберг";"В. Ф.";"В. Ф.";"Адлерберг";"Адлербергу";"";"Адлерберг, В. Ф.";"";""
"Адлерберг, Е. Н.";"Адлерберг";"Е. Н.";"Е. Н.";"Адлерберг";"Адлерберг";"";"Адлерберг, Е. Н.";"";""
"Адольф Хэсс";"Адольф Хэсс";"";"";"Адольф Хэсс";"Адольфу Хэссу";"";"Адольф Хэсс";"";""
"Адресный стол";"Адресный стол";"";"";"Адресный стол";"Адресному стол";"";"Адресный стол";"";""
"Азбукин, В. А.";"Азбукин";"В. А.";"В. А.";"Азбукин";"Азбукину";"";"Азбукин, В. А.";"";""
