автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Капнист, Василий Васильевич;поэт, драматург, общественный деятель;"Капнист В. В. Собрание сочинений: В 2 т. М.; Л. : Изд-во АН СССР, [Ленингр. отд-ние], 1960. – Т. 2. Переводы; Статьи; Письма. – 630 с., 1 л. портр.";1960;письмо;односторонняя;А. А. Дьяковой. (1). конец 1770.;;;;;
Капнист, Василий Васильевич;поэт, драматург, общественный деятель;"Капнист В. В. Собрание сочинений: В 2 т. М.; Л. : Изд-во АН СССР, [Ленингр. отд-ние], 1960. – Т. 2. Переводы; Статьи; Письма. – 630 с., 1 л. портр.";1960;письмо;односторонняя;А. А. Дьяковой. (1). конец 1770.;;;;;
Капнист, Василий Васильевич;поэт, драматург, общественный деятель;"Капнист В. В. Собрание сочинений: В 2 т. М.; Л. : Изд-во АН СССР, [Ленингр. отд-ние], 1960. – Т. 2. Переводы; Статьи; Письма. – 630 с., 1 л. портр.";1960;письмо;односторонняя;А. А. Дьяковой. (1). конец 1770.;;;;;
Капнист, Василий Васильевич;поэт, драматург, общественный деятель;"Капнист В. В. Собрание сочинений: В 2 т. М.; Л. : Изд-во АН СССР, [Ленингр. отд-ние], 1960. – Т. 2. Переводы; Статьи; Письма. – 630 с., 1 л. портр.";1960;письмо;односторонняя;Г. Р. Державину. (1). 5 марта 1781.;;;;;
