автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;П. В. Анненкову. (1). 20 мая 1859.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;А. Ф. Писемскому. (1). 28 августа 1859.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;И. С. Тургеневу. (1). 3 марта 1860.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;Н. А. Добролюбову. (1). 26 апреля 1860.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;Е. А., С. А. Никитенко. (1). 3 июня 1860.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;С. А. Никитенко. (1). 8 июня 1860.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;Е. А., С. А. Никитенко. (1). 14 июня 1860.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;Е. А., С. А. Никитенко. (1). 23 июня 1860.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;С. А. Никитенко. (1). 28 июня 1860.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;Е. А., С. А. Никитенко. (1). 6 1860.;;;;;
