"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"Ф. В. Тиршу. (1). 11 декабря 1829.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"Н. Н. Шереметевой. (1). 16 декабря 1829.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"Ф. В. Тиршу. (1). 20 января 1830.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"Н. И. Тютчеву. (1). 20 мая 1832.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"Н. И. Тютчеву. (1). 29 октября 1832.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"К. В. Нессельроде. (1). 22 октября 1835.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"И. С. Гагарину. (1). 20—21 апреля 1836.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"Н. В. Сушкову. (1). 21 июня 1836.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"И. С. Гагарину. (1). 7 июля 1836.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"И. С. Гагарину. (1). 10 июля 1836.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"И. Н., Е. Л. Тютчевым; Д. И. Сушковой. (1). 31 декабря 1836.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"И. Н., Е. Л. Тютчевым. (1). 3 апреля 1837.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"И. Н., Е. Л. Тютчевым. (1). 9 мая 1837.";;
