"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). Вторая половина января 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). Конец января — начало февраля 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). Начало февраля 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"Т. Е. Боку. (1). 18 февраля 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). Между 12 и 19 февраля 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"П. А. Вяземскому. (1). 22 февраля 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"К. Я. Булгакову. (1). Февраль 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"А. Н. Арбеневой. (1). Январь — февраль 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). Cередина марта 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"П. А.Вяземскому. (1). 18 марта 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"К. Я. Булгакову. (1). Март 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"К. Я. Булгакову. (1). Март 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). Первая половина апреля 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"П. А. Вяземскому. (1). 17 апреля 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"К. Я. Булгакову. (1). Апрель 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"К. Я. Булгакову. (1). Вторая половина апреля — первая половина мая 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"К. Я. Булгакову. (1). Первая половина мая 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"К. Я. Булгакову. (1). 17 мая 1818.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 16: Письма 1818—1827 годов — 2020.";2020;"письмо";"односторонняя / двусторонняя";"П. А. Вяземскому. (1). 19 мая 1818.";;
