Н. М. Щепкину. (1). 5 марта 1847.;
В. И. Боткину. (1). 8 марта 1847.;
В. П. Боткину. (1). 15—17 марта 1847.;
И. С. Тургеневу. (1). 12 апреля (24 апреля) 1847.;
В. П. Боткину. (1). 22 апреля 1847.;
В. П. Боткину. (1). 5 мая 1847.;
Д. П. Иванову. (1). 5 мая 1847.;
М. В. Белинской. (1). 10 мая (22 мая) 1847.;
М. В. Белинской. (1). 24 мая (5 июня) 1847.;
М. В. Белинской. (1). 29 мая (10 июня) 1847.;
М. В. Белинской. (1). 16 июня (28 июня) 1847.;
М. В. Белинской. (1). 25 июня (7 июля) 1847.;
М. В. Белинской. (1). 7 июля (19 июля) 1847.;
В. П. Боткину. (1). 7 июля (19 июля). 1947.;
М. В. Белинской. (1). 3 августа 1847.;
М. В. Белинской. (1). 14 августа 1847.;
М. В. Белинской. (1). 22 августа 1847.;
М. В. Белинской. (1). 3 сентября 1847.;
М. В. Белинской. (1). 22 сентября 1847.;
П. В. Анненкову. (1). 29 сентября 1847.;
В. П. Боткину. (1). 4—8 ноября 1847.;
П. Н. Кудрявцеву. (1). 8 ноября 1847.;
П. В. Анненкову. (1). 20 ноября—2 декабря. 1847.;
К. Д. Кавелину. (1). 22 ноября 1847.;
П. В. Анненкову. (1). 1—10 декабря 1847.;
В. П. Боткину. (1). 2—6 декабря 1847.;
К. Д. Кавелину. (1). 7 декабря 1847.;
Д. П. Иванову. (1). 10 декабря 1847.;
А. Д. Галахову. (1). 4 января 1848.;
П. В. Анненкову. (1). 15 февраля 1848.;
М. М. Попову. (1). 27 марта 1848.;
