;
В. П. Гаевскому. (1). 2 августа 1850.;
В. П. Гаевскому. (1). лето 1850.;
В. П. Гаевскому. (1). июнь—сентябрь 1850.;
П. В. Анненкову. (1). 30 сентября 1850.;
М. С. Куторге. (1). 10 октября 1850.;
М. С. Куторге. (1). 16 октября 1850.;
А. Д. Галахову. (1). 16 октября 1850.;
Б. И. Ордынскому. (1). 26 октября 1850.;
П. В. Анненкову. (1). 16 ноября 1850.;
Д. В. Григоровичу. (1). 16 ноября 1850.;
В. П. Гаевскому. (1). 19 ноября 1850.;
М. С. Куторге. (1). 20 ноября 1850.;
С. М. Соловьеву. (1). 20 декабря 1850.;
М. С. Куторге. (1). 21 декабря 1850.;
В. П. Гаевскому. (1). декабрь 1850.;
Н. Ф. Щербине. (1). 2 января 1851.;
М. В. Авдееву. (1). 9 января 1851.;
В. П. Гаевскому. (1). 20 января 1851.;
Н. Ф. Щербине. (1). 2 февраля 1851.;
В. П. Гаевскому. (1). 26 февраля 1851.;
В. П. Гаевскому. (1). 18 апреля 1851.;
В. П. Гаевскому. (1). 21 апреля 1851.;
А. Н. Афанасьеву. (1). 17 июля 1851.;
Д. В. Григоровичу. (1). 17 июля 1851.;
Д. В. Григоровичу. (1). 6 сентября 1851.;
И. С. Тургеневу. (1). 15 сентября 1851.;
В. Д. Яковлеву. (1). 16 октября 1851.;
В. П. Гаевскому. (1). 17 ноября 1851.;
H. М. Щепкину. (1). 5 декабря 1851.;
В. П. Гаевскому. (1). 1850—1851.;
В. И. Ордынскому. (1). 6 января 1852.;
В. П. Гаевскому. (1). 2 февраля 1850—1852.;
Ф. Ф. Цветаеву. (1). 6 февраля 1852.;
М. В. Авдееву. (1). 13 апреля 1852.;
М. Л. Михайлову. (1). конец апреля 1852.;
И. С. Тургеневу. (1). 16 мая 1852.;
M. В. Авдееву. (1). 17 июня 1852.;
В. П. Гаевскому. (1). 26 июля 1852.;
Л. Н. Толстому. (1). середина августа 1852.;
Л. Н. Толстому. (1). 5 сентября 1852.;
И. С. Тургеневу. (1). 21 октября 1852.;
Л. Н. Толстому. (1). 30 октября 1852.;
В. П. Гаевскому. (1). 3 ноября 1849—1852.;
И. С. Тургеневу. (1). 15 ноября 1852.;
Д. В. Григоровичу. (1). 22 ноября 1852.;
В. П. Гаевскому. (1). 15 декабря 1852.;
М. Л. Михайлову. (1). 19 декабря 1852.;
В. П. Гаевскому. (1). 1852.;
И. С. Тургеневу. (1). 20 января 1853.;
В. П. Гаевскому. (1). 24 / 31 января 1853.;
