автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник
К. Н. Леонтьеву. (1). 1 января 1859.;
В. П. Безобразову. (1). Вторая половина декабря 1858 — начало января 1859.;
В. П. Безобразову. (1). Вторая половина декабря 1858 — начало января 1859 .;
К. Д. Кавелину. (1). Вторая половина декабря 1858 — начало января 1859 .;
С. Т. Аксакову. (1). 7 января 1859.;
А. А. Фету. (1). 7 января 1859.;
А. А. Фету. (1). 10 января 1859.;
Полине Тургеневой. (1). 16 января 1859.;
А. А. Фету. (1). 16 января 1859.;
Полине Виардо. (1). 1 февраля 1859.;
Ег. П. Ковалевскому. (1). 1 февраля 1859.;
Л. Н. Толстому. (1). 2 февраля 1859.;
К. Д. Кавелину. (1). Январь — начало февраля 1859.;
Ег. П. Ковалевскому. (1). 9 февраля 1859.;
В. П. Боткину. (1). 10 февраля 1859.;
Л. Н. Толстому. (1). 11 февраля 1859.;
M. Н. Каткову. (1). Первая половина февраля 1859.;
И. В. Павлову. (1). 15 февраля 1859.;
Е. Е. Ламберт. (1). Декабрь 1858 — февраль 1859.;
А. И. Свечиной. (1). 2 марта 1859.;
Д. В. Стасову и др. (1). 3 марта 1859.;
И. И. Панаеву. (1). 4 марта 1859.;
А. Е. Мартынову. (1). 9 марта 1859.;
П. А. Плетневу. (1). 11 марта 1859.;
К. С. Аксакову. (1). 12 марта 1859.;
H. A. Основскому. (1). 16 марта 1859.;
П. А. Плетневу. (1). 16 марта 1859.;
К. И. Вульфу. (1). 18 марта 1859.;
Ег. П. Ковалевскому. (1). Февраль — 20 марта 1859.;
Полине Тургеневой. (1). 16 февраля 1859.;
Полине Тургеневой. (1). 23 марта 1859.;
Е. Е. Ламберт. (1). 27 марта 1859.;
И. В. Павлову. (1). 27 марта 1859.;
В. П. Боткину. (1). 29 марта 1859.;
К. Н. Леонтьеву. (1). 30 марта 1859.;
Морицу Гартману. (1). 30 марта 1859.;
Полине Виардо. (1). 31 марта 1859.;
В. Я. Карташевской. (1). 31 марта 1859.;
И. А. Гончарову. (1). 7 апреля 1859.;
Н. Я. Макарову. (1). 7 апреля 1859.;
В. П. Боткину. (1). 12 апреля 1859.;
И. В. Павлову. (1). 13 апреля 1859.;
Н. Ф. Щербине. (1). 13 апреля 1859.;
К. Н. Леонтьеву. (1). 16 апреля 1859.;
Е. Е. Ламберт. (1). 21 апреля 1859.;
Е. Е. Ламберт. (1). 26 апреля 1859.;
Е. Е. Ламберт. (1). 26 апреля 1859.;
Е. Е. Ламберт. (1). 27 / 28 апреля 1859.;
Н. А. Некрасову. (1). Январь — первая половина марта / 28 апреля 1859.;
Д. Я. Колбасину. (1). 29 апреля 1859.;
Е. Е. Ламберт. (1). 30 апреля 1859.;
М. А. Маркович. (1). 10 мая 1859.;
H. Н. Тургеневу. (1). 17 мая 1859.;
М. А. Маркович. (1). 19 мая 1859.;
H. Н. Тургеневу. (1). 3 июня 1859.;
Полине, Луи Виардо. (1). 8 июня 1859.;
М. А. Маркович. (1). 9 июня 1859.;
П. В. Аниеикову. (1). 10 июня 1859.;
Полине Тургеневой. (1). 10 июня 1859.;
Е. Е. Ламберт. (1). 12 июня 1859.;
Полине Тургеневой. (1). 14 июня 1859.;
М. А. Маркович. (1). 18 июня 1859.;
Полине Тургеневой. (1). 18 июня 1859.;
А. А. Фету. (1). 18 июня 1859.;
Е. Я. Колбасину. (1). 22 июня 1859.;
Е. Я. Колбасину. (1). 25 июня 1859.;
Е. Я. Колбасину. (1). 29 июня 1859.;
Полине Тургеневой. (1). 29 июня 1859.;
M. Н. Каткову. (1). 5 июля 1859.;
Е. Я. Колбасину. (1). 8 июля 1859.;
М. А. Маркович. (1). 10 июля 1859.;
Е. Е. Ламберт. (1). Середина июля 1859.;
Е. Я. Колбасину. (1). 15 июля 1859.;
Полине Тургеневой. (1). 16 июля 1859.;
А. А. Фету. (1). 16 июля 1859.;
М. А. Маркович. (1). 18 июля 1859.;
М. А. Маркович. (1). 20 июля 1859.;
Н. Я. Макарову. (1). 20 июля 1859.;
Полине Тургеневой. (1). 22 июля 1859.;
А. А. Фету. (1). 22 июля 1859.;
Луи Внардо. (1). 22 июля 1859.;
Е. Е. Ламберт. (1). 23 июля 1859.;
Кларе Тургеневой. (1). 31 июля 1859.;
П. В. Анненкову. (1). 1 августа 1859.;
М. А. Маркович. (1). 1 августа 1859.;
Н. Я. Макарову. (1). 1 августа 1859.;
А. А. Фету. (1). 1 августа 1859.;
Е. Я. Колбасину. (1). 3 августа 1859.;
Кларе Тургеневой. (1). 13 августа 1859.;
В. П. Боткину. (1). 29 августа 1859.;
Е. Я. Колбасину. (1). 31 августа 1859.;
Полине Виардо. (1). 4 сентября 1859.;
А. И. Герцену. (1). 4 сентября 1859.;
М. Н. Каткову. (1). 5 сентября 1859.;
M. A. Маркович. (1). 6—8 сентября 1859.;
Полине Виардо. (1). 16 сентября 1859.;
Полине Виардо. (1). 20 сентября 1859.;
Е. Е. Ламберт. (1). 23 сентября 1859.;
Е. Е. Ламберт. (1). 26 сентября 1859.;
Е. Е. Ламберт. (1). 3, 5 октября 1859.;
Н. А. Ооновскому. (1). 5 октября 1859.;
Полине Тургеневой. (1). 7 октября 1859.;
Е. Е. Ламберт. (1). 9 октября 1859.;
A. А. Фету. (1). 9 октября 1859.;
B. Я. Карташевской. (1). 10 октября 1859.;
Д. И. Яздовской. (1). 10 октября 1859.;
Полине Виардо. (1). 11 октября 1859.;
Е. Е. Ламберт. (1). 14 октября 1859.;
A. А. Краевскому. (1). 20 октября 1859.;
М. А. Маркович. (1). 21 октября 1859.;
И. С. Аксакову. (1). 22 октября 1859.;
П. В. Анненкову. (1). 23 октября 1859.;
Е. Е. Ламберт. (1). 28 октября 1859.;
Е. Е. Ламберт. (1). 3 ноября 1859.;
B. Я. Карташевской. (1). 7 ноября 1859.;
M. Н. Толстой. (1). 7 ноября 1859.;
Полине Тургеневой. (1). 10 ноября 1859.;
И. В. Павлову. (1). 11 ноября 1859.;
Е. Е. Ламберт. (1). 12 ноября 1859.;
И. С. Аксакову. (1). 13 ноября 1859.;
А. А. Фету. (1). 13 ноября 1859.;
А. А. Фету. (1). 23 ноября 1859.;
Полине Тургеневой. (1). 20 ноября 1859.;
Полине Тургеневой. (1). 26 ноября 1859.;
Е. Е. Ламберт. (1). 26 ноября 1859.;
Е. Е. Ламберт. (1). 28 ноября 1859.;
A. А. Фету. (1). 28, 29 ноября 1859.;
B. Я. Карташевской. (1). 29 ноября 1859.;
Е. Е. Ламберт 30 ноября (12 декабря) 1859.;
Е. Е. Ламберт. (1). 1 декабря 1859.;
В. Я. Карташевской. (1). 2 декабря 1859.;
Е. Е. Ламберт. (1). 2 декабря 1859.;
Е. А. Черкасской. (1). 3 декабря 1859.;
Я. П. Полонскому. (1). 3 декабря 1859.;
П. В. Анненкову. (1). 3 декабря 1859.;
В. Я. Карташевской. (1). 4 декабря 1859.;
В. Я. Карташевской. (1). 4 декабря 1859.;
В. Я. Карташевской. (1). 5 декабря 1859.;
Н. И. Тургеневу. (1). 5 декабря 1859.;
Полине Тургеневой. (1). 6 декабря 1859.;
Н. Я. Макарову. (1). 6 декабря 1859.;
Е. Е. Ламберт. (1). 9 декабря 1859.;
Е. Е. Ламберт. (1). 10 декабря 1859.;
Е. А. Черкасской. (1). 10 декабря 1859.;
В. Я. Карташевской. (1). 12 декабря 1859.;
Е. Е. Ламберт. (1). 12 декабря 1859.;
П. А. Плетневу. (1). 13 декабря 1859.;
В. Я. Карташевской. (1). 14 декабря 1859.;
Е. Е. Ламберт. (1). 16 декабря 1859.;
О. С. Одоевской. (1). 16 декабря 1859.;
В. Н. Кашперову. (1). 17 декабря 1859.;
Е. Е. Ламберт. (1). 17 декабря 1859.;
Е. А. Черкасской. (1). 18 декабря 1859.;
Е. Е. Ламберт. (1). 20 декабря 1859.;
А. М. Веневитиновой. (1). 21 декабря 1859.;
П. А. Вяземскому. (1). 24 декабря 1859.;
А. А. Фету. (1). 7—25 декабря 1859.;
П. А. Плетневу. (1). 25 декабря 1859.;
Я. П. Полонскому. (1). 27 декабря 1859.;
Полине Виардо. (1). 30 декабря 1859, 6 января 1860.;
М. Л. Михайлову. (1). 31 декабря 1859 января 1860.;
О. С. Одоевской. (1). Вторая половина декабря 1859.;
Е. А. Черкасской. (1). Вторая половина декабря 1859.;
Е. Е. Ламберт. (1). Конец декабря.;
Ег. П. Ковалевскому. (1). 1 января 1860.;
М. А. Маркович. (1). 6 января 1860.;
И. И. Маслову. (1). 6 января 1860.;
Э. Ф. Раден. (1). 6 января 1860.;
Н. А. Некрасову. (1). Начало января 1860.;
Полине Тургеневой. (1). 6, 11 января 1860.;
В. Я. Карташевской. (1). 12 января 1860.;
П А. Плетневу. (1). 12 января 1860.;
Е. Е. Ламберт. (1). 13 января 1860.;
Н. А. Некрасову. (1). 13 января 1860.;
И. И. Маслову. (1). 13 января 1860.;
Н. Я. Макарову. (1). 14 января. 1860.;
M. Н. Каткову. (1). 15 января 1860.;
П. Е. Анненкову. (1). 16 января 1860.;
Редактору «С.-Петербургских ведомостей». (1). 9—17 января 1860.;
Н. В. Сушкову. (1). 20 января 1860.;
О. А. Киреевой. (1). 22 января 1860.;
О. А. Киреевой. (1). 24 января 1860.;
О. А. Киреевой. (1). 26 января 1860.;
О. А. Киреевой. (1). 29 января 1860.;
Н. В. Сушкову. (1). 31 января 1860.;
Е. Е. Ламберт. (1). 18 января, 1 февраля 1860.;
И. Ф. Миницкому. (1). 3 февраля 1860.;
О. А. Киреевой. (1). 4 февраля 1860.;
О. А. Киреевой. (1). 4 февраля 1860.;
В. Я. Карташевской. (1). 5 февраля 1860.;
Е. Я. Колбасину. (1). 5 февраля 1860.;
Е. Е. Ламберт. (1). 5 февраля 1860.;
А. Н. Островскому. (1). 5 февраля 1860.;
Ф. М. Достоевскому. (1). 9 февраля 1860.;
