"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 15, кн. 1. Письма, 1876. М.: Наука, 2012. 580, [1] с., [1] л. портр.: ил., факс. Библиогр. в тексте примеч.: с. 347-566.";"2012";"письмо";"односторонняя";"П. В. Анненкову. (1). 1 января 1876.";"";""
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 15, кн. 1. Письма, 1876. М.: Наука, 2012. 580, [1] с., [1] л. портр.: ил., факс. Библиогр. в тексте примеч.: с. 347-566.";"2012";"письмо";"односторонняя";"М. М. Стасюлевичу. (1). 1 января 1876.";"";""
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 15, кн. 1. Письма, 1876. М.: Наука, 2012. 580, [1] с., [1] л. портр.: ил., факс. Библиогр. в тексте примеч.: с. 347-566.";"2012";"письмо";"односторонняя";"Н. В. Ханыкову. (1). 2 января 1876.";"";""
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 15, кн. 1. Письма, 1876. М.: Наука, 2012. 580, [1] с., [1] л. портр.: ил., факс. Библиогр. в тексте примеч.: с. 347-566.";"2012";"письмо";"односторонняя";"Полине Брюэр. (1). 3 января 1876.";"";""
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 15, кн. 1. Письма, 1876. М.: Наука, 2012. 580, [1] с., [1] л. портр.: ил., факс. Библиогр. в тексте примеч.: с. 347-566.";"2012";"письмо";"односторонняя";"Юлиусу Роденбергу. (1). 3 января 1876.";"";""
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 15, кн. 1. Письма, 1876. М.: Наука, 2012. 580, [1] с., [1] л. портр.: ил., факс. Библиогр. в тексте примеч.: с. 347-566.";"2012";"письмо";"односторонняя";"М. Е. Салтыкову. (1). 3 января 1876.";"";""
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 15, кн. 1. Письма, 1876. М.: Наука, 2012. 580, [1] с., [1] л. портр.: ил., факс. Библиогр. в тексте примеч.: с. 347-566.";"2012";"письмо";"односторонняя";"Н. А. Кишинскому. (1). 6 января 1876.";"";""
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 15, кн. 1. Письма, 1876. М.: Наука, 2012. 580, [1] с., [1] л. портр.: ил., факс. Библиогр. в тексте примеч.: с. 347-566.";"2012";"письмо";"односторонняя";"Я. П. Полонскому. (1). 6 января 1876.";"";""
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 15, кн. 1. Письма, 1876. М.: Наука, 2012. 580, [1] с., [1] л. портр.: ил., факс. Библиогр. в тексте примеч.: с. 347-566.";"2012";"письмо";"односторонняя";"М. М. Стасюлевичу. (1). 6 января 1876.";"";""
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 15, кн. 1. Письма, 1876. М.: Наука, 2012. 580, [1] с., [1] л. портр.: ил., факс. Библиогр. в тексте примеч.: с. 347-566.";"2012";"письмо";"односторонняя";"А. В. Топорову. (1). 6 января 1876.";"";""
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 15, кн. 1. Письма, 1876. М.: Наука, 2012. 580, [1] с., [1] л. портр.: ил., факс. Библиогр. в тексте примеч.: с. 347-566.";"2012";"письмо";"односторонняя";"Е. И. Бларамберг. (1). 8 января 1876.";"";""
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 15, кн. 1. Письма, 1876. М.: Наука, 2012. 580, [1] с., [1] л. портр.: ил., факс. Библиогр. в тексте примеч.: с. 347-566.";"2012";"письмо";"односторонняя";"А. Ф. Онегину. (1). 8 января 1876.";"";""
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 15, кн. 1. Письма, 1876. М.: Наука, 2012. 580, [1] с., [1] л. портр.: ил., факс. Библиогр. в тексте примеч.: с. 347-566.";"2012";"письмо";"односторонняя";"Ипполиту Тэну. (1). 8 января 1876.";"";""
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 15, кн. 1. Письма, 1876. М.: Наука, 2012. 580, [1] с., [1] л. портр.: ил., факс. Библиогр. в тексте примеч.: с. 347-566.";"2012";"письмо";"односторонняя";"П. В. Анненкову. (1). 12 января 1876.";"";""
