"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 8 января 1806.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). ноябрь 1806.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу; Д. Н. Блудову. (1). первая половина декабря 1806.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 24 декабря 1806.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). первая половина января 1807.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 17 января 1807.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 28 января 1807.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). начало февраля 1807.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). вторая половина февраля 1807.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"Д. Н. Блудову. (1). конец июня 1807.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). начало июля 1807.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. М. Соковниной. (1). июль—август 1807.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу; Д. Н. Блудову. (1). конец ноября 1807.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 9 декабря 1807.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). начало декабря (до 10-го) 1807.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). конец декабря 1807 — начало января 1808.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"П. А. Вяземскому. (1). 25—27 июня 1808.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"И. П. Черкасову. (1). 29—30 июня 1808.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"П. А. Вяземскому. (1). 30 июля 1808.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"П. А. Вяземскому. (1). 5 августа 1808.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"Е. Д. Турчаниновой. (1). сентябрь (не позднее 10-го) 1808.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 10 февраля 1809.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). конец марта 1809.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"П. И. Голубкову. (1). 25 мая 1809.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. П. Юшковой (Зонтаг). (1). июнь 1809.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"И. В. Лопухину. (1). 24 августа 1809.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). конец августа 1809.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 15 сентября 1809.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 2 декабря 1809.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. А. Перовскому. (1). 20—25 января 1810.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"П. А. Вяземскому. (1). 20—25 января 1810.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"П. А. Вяземскому. (1). 1 февраля 1810.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"И. И. Дмитриеву. (1). 10 марта 1810.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). начало апреля 1810.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"К. Н. Батюшкову. (1). 7 мая 1810.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"П. А.Вяземскому. (1). около 1 июля 1810.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"П. А.Вяземскому. (1). 3 июля 1810.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 11 июля 1810.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). август 1810.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 12 сентября 1810.";;
