М. Г. Пецольд. (1). 2 декабря 1869.;
Н. А. Кишинскому. (1). 3 декабря 1869.;
Юлиану Шмидту. (1). 3 декабря 1869.;
П. В. Анненкову. (1). 4 декабря 1869.;
И. П. Борисову. (1). 5 декабря 1869.;
П. И. Бартеневу. (1). 6 декабря 1869.;
Бернгарду Эриху Вере. (1). 6 декабря 1869.;
А. Ф. Писемскому. (1). 9 декабря 1869.;
А. М. Жемчужникову. (1). 12 декабря 1869.;
Марии Пич. (1). 14 декабря 1869.;
Клоди Виардо. (1). 18 декабря 1869.;
И. В. Анненкову. (1). 20 декабря 1869.;
M. M. Стасюлевичу. (1). 21 декабря 1869.;
Редактору «Вестника Европы». (1). 21 декабря 1869.;
А. А. Фету. (1). 21 декабря 1869.;
И. П. Борисову. (1). 23 декабря 1869.;
Н. А. Кишинскому. (1). 23 декабря 1869.;
Жюлю Этцелю. (1). 23 декабря 1869.;
Полине Крюэр. (1). 24 декабря 1869.;
М. Л. Милютиной. (1). 24 декабря 1869.;
Марии Пич. (1). 24 декабря 1869.;
Я. П. Полонскому. (1). 24 декабря 1869.;
Людвигу Фридлендеру. (1). 24 декабря 1869.;
А. Ф. Онегину. (1). 27 декабря 1869.;
А. Ф. Писемскому. (1). 27 декабря 1869.;
Н. А. Кишинскому. (1). Ноябрь — декабрь 1869.;
Максиму Дюкану. (1). 1867-1869.;
Максиму Дюкану. (1). 1867-1869.;
Максиму Дюкану. (1). 1867-1869.;
Я. П. Полонскому. (1). 1 января 1869.;
М. М. Стасюлевичу. (1). 2 января 1869.;
Н. А. Герцен. (1). 5 января 1869.;
Клоди Виардо. (1). 7 января 1869.;
Жорж Санд. (1). 7 января 1869.;
Н. А. Тучковой-Огаревой. (1). 7 января 1869.;
Редактору «С.-Петербургских ведомостей». (1). 8 января 1869.;
Н. А. Герцен. (1). 9 января 1869.;
Неизвестному. (1). 10 января 1869.;
П. В. Анненкову. (1). 10 января 1869.;
А. А. Герцену. (1). 10 января 1869.;
Луи Поме. (1). 13 января 1869.;
М. В. Авдееву. (1). 13 января 1869.;
Илье Вучетичу. (1). 18 января 1869.;
Н. А. Кишинскому. (1). 18 января 1869.;
Гюставу Флоберу. (1). 18 января 1869.;
Н. В. Ханыкову. (1). 18 января 1869.;
Вильяму Рольстону. (1). 19 января 1869.;
А. А. Фету. (1). 23 января 1869.;
К. К. Случевскому. (1). 26 января 1869.;
Н. В. Ханыкову. (1). 26 января 1869.;
П. В. Анненкову. (1). 27 января 1869.;
Я. П. Полонскому. (1). 29 января 1869.;
И. П. Борисову. (1). 31 января 1869.;
Людвигу Пичу. (1). 1 февраля 1869.;
Н. А. Кишинскому. (1). 2 февраля 1869.;
Людвигу Пичу. (1). 5 февраля 1869.;
Гюставу Флоберу. (1). 8 февраль 1869.;
Н. С. Тургеневу. (1). 9 февраля 1869.;
Теодору Шторму. (1). 9 февраля 1869.;
А. Ф. Писемскому. (1). 10 февраля 1869.;
Людвигу Пичу. (1). 14 февраля 1869.;
Бернгарду Эриху Бере. (1). 16 февраля 1869.;
Полине Брюэр. (1). 24 февраля 1869.;
M. M. Стасюлевичу. (1). 26 февраля 1869.;
А. Ф. Онегину. (1). 1 марта 1869.;
Н. И. Рашет. (1). 1 марта 1869.;
И. П. Борисову. (1). 15 марта 1869.;
Вильяму Рольстону. (1). 16 марта 1869.;
Н. А. Кашинскому. (1). 17 марта 1869.;
Н. А. Кишинскому. (1). 19 марта 1869.;
Полине Виардо. (1). 19 марта 1869.;
Н. А. Кишинскому. (1). 21 марта 1869.;
A. A. Фету. (1). 21 марта 1869.;
Н. В. Ханыкову. (1). 21 марта 1869.;
Леопольду Кайслеру. (1). 22 марта 1869.;
Я. П. Полонскому. (1). 22 марта 1869.;
Бернгарду Эриху Бере. (1). 26 марта  1869.;
2723.Бернгарду Эриху Бере. (1). 29 марта 1869.;
И. П. Борисову. (1). 1 апреля 1869.;
А. Н. Тургеневу. (1). 2 апреля 1869.;
А. Ф. Писемскому. (1). 3 апреля 1869.;
Людвигу Пичу. (1). 4 апреля 1869.;
Я. П. Полонскому. (1). 4 апреля 1869.;
Бернгарду Эриху Бере. (1). 9 апреля 1869.;
Людвигу Пичу. (1). 10 апреля 1869.;
Н. А. Кишинскому. (1). 12 апреля 1869.;
Н. С. Тургеневу. (1). 12 апреля 1869.;
Я. П. Полонскому. (1). 14 апреля 1869.;
М. Г. Пецольд. (1). 22 апреля 1869.;
Бернгарду Эриху Бере. (1). 22 апреля 1869.;
А. Ф. Писемскому. (1). 22 апреля 1869.;
Н. А. Кишинскому. (1). 24 апреля 1869.;
Юлиусу Роденбергу. (1). 26 апреля 1869.;
Полине Брюар. (1). 6 мая 1869.;
А. Ф. Онегину. (1). 6, 10 мая 1869.;
Юлиусу Роденбергу. (1). 11 мая 1869.;
А. И. Скребицкому. (1). 11 мая 1869.;
П. В. Анненкову. (1). 17 мая 1869.;
Юлиусу Роденбергу. (1). 19 мая 1869.;
M. M. Стасюлевичу. (1). 21 мая 1869.;
И. П. Борисову. (1). 22 мая 1869.;
Бернгарду Эриху Бере. (1). 22 мая 1869.;
Н. А. Кишинскому. (1). 22 мая 1869.;
Юлиусу Роденбергу. (1). 22 мая 1869.;
Н. А. Кишинскому. (1). 22 мая 1869.;
M. M. Стасюлевичу. (1). 23 мая 1869.;
И. И. Маслову. (1). 24 мая 1869.;
М. М. Стасюлевичу. (1). 27 мая 1869.;
И. И. Маслову. (1). 28 мая 1869.;
Полине Виардо. (1). 30 мая 1869.;
Н. А. Кишинскому. (1). 30 мая 1869.;
Я. И. Полонскому. (1). 3 июня 1869.;
Полине Виардо. (1). 4 июня 1869.;
Полине Брюэр. (1). 4 июня 1869.;
И. И. Маслову. (1). 4 июня 1869.;
А. М. Жемчужникову. (1). 5 июня 1869.;
Юлиусу Роденбергу. (1). 5 июня 1869.;
Полине Виардо. (1). 8 июня 1869.;
Л. А. Фету. (1). 8 июня 1869.;
А. Ф. Писемскому. (1). 13 июня 1869.;
Клоди Виардо. (1). 15 июня 1869.;
П. В. Анненкову. (1). 15 июня 1869.;
Я. П. Полонскому. (1). 16 июня 1869.;
Я. П. Полонскому. (1). 20 июня 1869.;
В. Я. Карташевской. (1). 21 июня 1869.;
Полине Брюэр. (1). 22 июня 1869.;
Бернгарду Эриху Вере. (1). 22 июня 1869.;
M. H. Лонгинову. (1). 26 июня 1869.;
Н. А. Кишинскому. (1). 30 июня 1869.;
Я. П. Полонскому. (1). 30 июня 1870.;
Бернгарду Эриху Бере. (1). 30 июня 1870.;
А. Ф. Онегину. (1). Первая половина 1870.;
M. M. Стасюлевичу. (1). 2 или 3 июля 1870.;
Полине Брюэр. (1). 11 июля 1870.;
П. П. Васильеву. (1). 14 июля 1870.;
М. Ф. Соллогуб. (1). 14 июля 1870.;
А. Я. Тургеневой. (1). 15 июля 1870.;
H. С. Тургеневу. (1). 15 июля 1870.;
А. М. Жемчужникову. (1). 17 июля 1870.;
Бернгарду Эриху Бере. (1). 18 июля 1870.;
Н. А. Кишинскому. (1). 18 июля 1870.;
Юлиану Шмидту. (1). 19 июля 1870.;
М. А. Милютиной. (1). 20 июля 1870.;
П. В. Анненкову. (1). 27 июля 1870.;
Н. С. Тургеневу. (1). 28 июля 1870.;
Н. А. Кишинскому. (1). 31 июля 1870.;
Н. С. Тургеневу. (1). 4 августа 1870.;
М. А. Милютиной. (1). 8 августа 1870.;
И. П. Борисову. (1). 12 августа 1870.;
Юлиану Шмидту. (1). 16 августа 1870.;
Бернгарду Эриху Бере. (1). 16 августа 1870.;
Людвигу Фридлендеру. (1). 17 августа 1870.;
Людвигу Пичу. (1). 28 августа 1870.;
Валентине Делессер. (1). 29 августа 1870.;
Н. А. Кишинскому. (1). 29 августа 1870.;
П. В. Анненкову. (1). 3 сентября 1870.;
Я. П. Полонскому. (1). 6 сентября 1870.;
Н. А. Кишинскому. (1). 25 сентября 1870.;
Вильяму Рольстону. (1). 27 сентября 1870.;
Н. А. Кишинскому. (1). 28 сентября 1870.;
H. С. Тургеневу. (1). 28, 20 сентября 1870.;
И. П. Борисову. (1). 1 октября 1870.;
Н. Н. Рашет. (1). 4 октября 1870.;
M. M. Стасюлевичу. (1). 4 октября 1870.;
Полине Виардо. (1). 10 октября 1870.;
Н. С. Тургеневу. (1). 12 октября 1870.;
Н. Н. Рашет. (1). 13 октября 1870.;
Паулю Гейзе. (1). 14 октября 1870.;
Н. А. Кишинскому. (1). 14 октября 1870.;
Н. Н. Рашет. (1). 14 октября 1870.;
Теодору Шторму. (1). 14 октября 1870.;
Клоди Виардо. (1). 14 октября 1870.;
П. В. Анненкову. (1). 16 октября 1870.;
И. П. Борисову. (1). 16 октября 1870.;
Полине Брюэр. (1). 16 октября 1870.;
