Прошение на имя Екатерины II. (1). 30 мая 1779.;
А. Р. Воронцову. (19). 1782 — 1790.;
А. И. Далю. (1). 30 апреля 1790.;
А. Р. Воронцову. (6). 1790.;
Завещание детям. (1). 1790.;
С. И. Шешковскому. (3). 1790.;
А. Р. Воронцову. (24). 1790 — 1791.;
А. М. Кутузову. (1). 6 декабря 1791.;
А. Р. Воронцову. (26). 1791 — 1797.;
Н. А. Радищеву. (1). июль 1797.;
М. Н. Радищевой. (1). июль 1797.;
М. Н. Радищеву. (1). июль 1797.;
А.А Ушакову. (1). 26 июля 1797.;
В. А., Н. А. Радищевым. (1). 13 августа 1797.;
Книгопродавцу Рису. (1). 18 августа 1797.;
М. Н. Радищеву. (1). 18 августа 1797.;
А. Р. Воронцову. (2). 1797.;
Прошение на имя Павла I. (1). 6 декабря 1797.;
А. Р. Воронцову. (12). 1797 — 1800.;
Прошение на имя Павла I. (1). 21 декабря 1800.;
Прошение на имя Александра I. (1). 1802.;
Неизвестному. (1). 1802.;
Н. А., Ф. С. Радищевым. (1). 18 августа 1802.;
