автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник
М. С. Скребицкой. (1). 25 января 1886—1889.;
М. М. Стасюлевичу. (1). 26 января 1889.;
Л. Ф. Пантелееву. (1). 4 февраля 1889.;
Г. И. Успенскому. (1). 8 февраля 1889.;
В. М. Соболевскому. (1). И февраля 1889.;
Ф. Ф. Павленкову. (1). 17 февраля 1889.;
В. М. Соболевскому. (1). 18 февраля 1889.;
Н. А. Белоголовому. (1). 21 февраля 1889.;
M. М. Стасюлевичу. (1). 21 февраля 1889.;
В. М. Соболевскому. (1). 22 февраля 1889.;
В. М. Соболевскому. (1). 25 февраля 1889.;
М. М. Стасюлевичу. (1). 3 марта 1889.;
М. М. Стасюлевичу. (1). 9 марта 1889.;
M. M. Стасюлевичу. (1). 9 марта 1889.;
В. M. Соболевскому. (1). 12 марта 1889.;
М. М. Стасюлевичу. (1). 14 марта 1889.;
М. М. Стасюлевичу. (1). 14 марта 1889.;
М. М. Стасюлевичу. (1). 18 марта 1889.;
М. М. Стасюлевичу. (1). 19 марта 1889.;
М. М. Стасюлевичу. (1). 21 марта 1889.;
М. М. Стасюлевичу. (1). 3 апреля 1889.;
Редакции газеты «Новости». (1). 8—11 апреля 1889.;
Н. В. Кидошенкову. (1). 15 апреля 1889.;
М. М. Стасюлевичу. (1). 18 апреля 1889.;
В. М. Соболевскому. (1). 20 апреля 1889.;
Н. А. Белоголовому. (1). 22 апреля 1889.;
В. Р. Зотову. (1). 2 ноября 1884—1886.;
Н. И. С~ву. (1). 1884—1889.;
К. М. Салтыкову. (1). Апрель 1889.;
