автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник
В. М. Соболевскому. (1). 15 января 1885.;
Н. А. Белоголовому. (1). 19 января 1885.;
М. М. Стасюлевичу. (1). 20 января 1885.;
М. М. Стасюлевичу. (1). 28 января 1885.;
М. М. Стасюлевичу. (1). 29 января 1885.;
H. В. Кидошенкову. (1). 1 февраля 1885.;
В. М. Соболевскому. (1). 2 февраля 1885.;
Н. А. Белоголовому. (1). 5 февраля 1885.;
В. П. Гаевскому. (1). 5 февраля 1885.;
Г. 3. Елисееву. (1). 5 февраля 1885.;
А. М. Скабичевскому. (1). 7 февраля 1885.;
В. М. Соболевскому. (1). 7 февраля 1885.;
А. М. Скабичевскому. (1). 9 февраля 1885.;
М. И. Семевскому. (1). 12 февраля 1885.;
Н. К. Михайловскому. (1). 15 февраля 1885.;
В. М. Соболевскому. (1). 15 февраля 1885.;
Н. А. Белоголовому. (1). 16 февраля 1885.;
M. М. Стасюлевичу. (1). 21 февраля 1885.;
Н. К. Михайловскому. (1). 22 февраля 1885.;
А. Л. Боровиковскому. (1). 25 февраля 1885.;
Г. 3. Елисееву. (1). 1 марта 1885.;
В. М. Соболевскому. (1). 3 марта 1885.;
M. М. Стасюлевичу. (1). 4 марта 1885.;
А. М. Скабичевскому. (1). 7 марта 1885.;
Л. Ф. Пантелееву. (1). 5—9 марта 1885.;
А. М. Скабичевскому. (1). 10 марта 1885.;
А. Н. Плещееву. (1). 11 марта 1885.;
В. М. Соболевскому. (1). 11 марта 1885.;
М. М. Стасюлевичу. (1). 12 марта 1885.;
Н. К. Михайловскому. (1). 15 марта 1885.;
Г. З. Елисееву. (1). 20 марта 1885.;
С. А. Юрьеву. (1). 20 марта 1885.;
Н. С. Таганцеву. (1). До 21 марта 1885.;
Н. И. Верховскому. (1). 21 марта 1885.;
Н. А. Белоголовому. (1). 22 марта 1885.;
В. И. Лихачеву. (1). 25 марта 1885.;
Л. Ф. Пантелееву. (1). 30 марта 1885.;
Г. 3. Елисееву. (1). 31 марта 1885.;
А. Л. Боровиковскому. (1). 4 апреля 1885.;
В. М. Соболевскому. (1). 4 апреля 1885.;
В. М. Соболевскому. (1). 6 апреля 1885.;
M. М. Стасюлевичу. (1). 6 апреля 1885.;
М. М. Стасюлевичу. (1). 7 апреля 1885.;
В. М. Соболевскому. (1). 8 апреля 1885.;
В. М. Соболевскому. (1). 21 апреля 1885.;
В. М. Соболевскому. (1). 25 апреля 1885.;
Н. А. Белоголовому. (1). 26 апреля 1885.;
В. М. Соболевскому. (1). 28 апреля 1885.;
М. М. Стасюлевичу. (1). 30 апреля 1885.;
Н. К. Михайловскому. (1). 2 мая 1885.;
M. M. Стасюлевичу. (1). 6 мая 1885.;
M. M. Стасюлевичу. (1). 9 мая 1885.;
Редакции газеты «Новости». (1). 11 мая 1885.;
В. М. Соболевскому. (1). 12 мая 1885.;
В. М. Соболевскому. (1). 13 мая 1885.;
В. М. Соболевскому. (1). 13 мая 1885.;
В. М. Соболевскому. (1). 17 мая 1885.;
Л. Ф. Пантелееву. (1). 21 мая 1885.;
Л. Ф. Пантелееву. (1). 22 мая 1885.;
В. П. Гаевскому. (1). 23 мая 1885.;
Н. А. Белоголовому. (1). 28 мая 1885.;
Н. А. Белоголовому. (1). 31 мая 1885.;
Л. Ф. Пантелееву. (1). Май 1885.;
Н. А. Белоголовому. (1). 4 июня 1885.;
М. М. Стасюлевичу. (1). 14 июня 1885.;
Н. А. Белоголовому. (1). 16 июня 1885.;
Н. А. Белоголовому. (1). 21 июня 1885.;
Н. А. Белоголовому. (1). 23 июня 1885.;
Н. А. Белоголовому. (1). 24—28 июня 1885.;
Г. 3. Елисееву. (1). 1 июля 1885.;
Г. 3. Елисееву. (1). 3 июля 1885.;
М. М. Стасюлевичу. (1). 5 июля 1885.;
В. М. Соболевскому. (1). 9 июля 1885.;
M. М. Стасюлевичу. (1). 13 июля 1885.;
В. П. Гаевскому. (1). 14 июля 1885.;
П. В. Анненкову. (1). 15 июля 1885.;
П. В. Анненкову. (1). 17 июля 1885.;
В. М. Соболевскому. (1). 19 июля 1885.;
В. М. Соболевскому. (1). Первая половина августа 1885.;
M. М. Стасюлевичу. (1). 1 августа 1885.;
M. М. Стасюлевичу. (1). 3 августа 1885.;
Конторе газеты «Русские ведомости». (1). 14 августа 1885.;
Н. А. Белоголовому. (1). 18 августа 1885.;
М. Т. Лорис-Меликову. (1). 18 августа 1885.;
Н. А. Белоголовому. (1). 21 августа 1885.;
В. П. Гаевскому. (1). 21 августа 1885.;
В. М. Соболевскому. (1). 23 августа 1885.;
M. М. Стасюлевичу. (1). 23 августа 1885.;
А. Л. Боровиковскому. (1). 26 августа 1885.;
Г. 3. Елисееву. (1). 27 августа 1885.;
Н. А. Белоголовому. (1). 28 августа 1885.;
H. A. Белоголовому. (1). 1 сентября 1885.;
С. M. Барацу. (1). 2 сентября 1885.;
Л. Ф. Пантелееву. (1). 3 сентября 1885.;
Н. К. Михайловскому. (1). 4 сентября 1885.;
Н. А. Белоголовому. (1). 5 сентября 1885.;
А. Н. Плещееву. (1). 9 сентября 1885.;
А. Н. Плещееву. (1). 11 сентября 1885.;
Е. М. Феоктистову. (1). 11 сентября 1885.;
Н. А. Белоголовому. (1). 14 сентября 1885.;
Л. Ф. Пантелееву. (1). 17 сентября 1885.;
Л. Ф. Пантелееву. (1). 27 сентября 1885.;
Н. А. Белоголовому. (1). 28 сентября 1885.;
В. М. Соболевскому. (1). 29 сентября 1885.;
С. М. Барацу. (1). 2 октября 1885.;
В. М. Соболевскому. (1). 6 октября 1885.;
Н. А. Белоголовому. (1). 12 октября 1885.;
Я. Г. Гуревичу. (1). 18 октября 1885.;
А. Н. Еракову. (1). 20 октября 1885.;
Г. 3. Елисееву. (1). 30 октября 1885.;
А. Н. Плещееву. (1). 13 ноября 1885.;
Н. А. Белоголовому. (1). 24 ноября 1885.;
Л. Ф. Пантелееву. (1). 25 ноября 1885.;
А. М. Унковскому. (1). Сентябрь — ноябрь 1885.;
А. Н. Плещееву. (1). Ноябрь 1885.;
Л. Ф. Пантелееву. (1). 2 декабря 1885.;
Н. К. Михайловскому. (1). 5 декабря 1885.;
В. Г. Черткову. (1). 5 декабря 1885.;
В. М. Соболевскому. (1). 18 декабря 1885.;
В. П. Гаевскому. (1). 1885.;
В. М. Соболевскому. (1). 1—5 января 1886.;
В. М. Соболевскому. (1). 9 января 1886.;
Е. А. Боткиной. (1). 17 января 1886.;
M. М. Стасюлевичу. (1). 30 января 1886.;
Н. А. Белоголовому. (1). Конец декабря 1885 —январь 1886.;
Я. Г. Гуревичу. (1). 7 февраля 1886.;
Н. А. Белоголовому. (1). 12 февраля 1886.;
В. М. Соболевскому. (1). 17 февраля 1886.;
С. В. Пантелеевой. (1). 18 февраля 1886.;
В. М. Соболевскому. (1). 28 февраля 1886.;
M. М. Ковалевскому. (1). 8 марта 1886.;
В. M. Соболевскому. (1). 10 марта 1886.;
В. М. Соболевскому. (1). 13 марта 1886.;
Н. А. Белоголовому. (1). 14 марта 1886.;
Л. Ф. Пантелееву. (1). 16 марта 1886.;
Н. К. Михайловскому. (1). 23 марта 1886.;
Л. Ф. Пантелееву. (1). 25 марта 1886.;
