А. О. Смирновой. (1). 29 июля 1849.;
М. И. Гоголь. (1). 30 июля 1849.;
А. М. Вьельгорской. (1). 30 июля 1849.;
С. М. Соллогуб. (1). 30 июля 1849.;
А. П. Толстому. (1). конец июля 1849.;
М. И. Гоголь. (1). 4 сентября 1849.;
А. О. Смирновой. (1). 15 сентября 1849.;
Н. В. Путяте. (1). 14—18 августа / 21—27 сентября 1849.;
А. О. Смирновой. (1). 20 октября 1849.;
"С. М. Соллогуб; А. М. Вьельгорской. (1). 20 октября 1849.";
М. И. Гоголь. (1). до 28-го ноября 1849.;
М. И. Гоголь. (1). 28 ноября 1849.;
А. О. Смирновой. (1). 28 ноября 1849.;
С. Т. Аксакову. (1). ноябрь 1849.;
П. А. Вяземскому. (1). осень 1849.;
В. А. Жуковскому. (1). осень 1849.;
К. И. Маркову. (1). 3 декабря 1849.;
А. М. Марковичу. (1). 6 декабря 1849.;
А. О. Смирновой. (1). 6 декабря 1849.;
В. А. Жуковскому. (1). 14 декабря 1849.;
П. А. Плетневу. (1). 15 декабря 1849.;
Я. К. Гроту. (1). середина декабря 1849.;
А. М. Вьельгорской. (1). 26 декабря 1849.;
Н. Н. Шереметевой. (1). конец декабря 1849.;
Н. Н. Шереметевой. (1). 1849.;
Н. Н. Шереметевой. (1). 1849.;
Н. Н. Шереметевой. (1). 1849.;
П. А. Плетневу. (1). 21 января 1850.;
М. А. Максимовичу. (1). январь — февраль 1850.;
Н. Н. Шереметевой. (1). перед 11 февраля 1850.;
А. М. Вьельгорской. (1). 11 февраля 1850.;
М. И. Гоголь. (1). 11 февраля 1850.;
А. О. Смирновой. (1). 11 февраля 1850.;
Н. Н. Шереметевой. (1). 11 февраля 1850.;
К. С. Аксакову. (1). первая половина февраля 1850.;
С. Т. Аксакову. (1). середина февраля 1850.;
А. М. Марковичу. (1). середина февраля 1850.;
В. А. Жуковскому. (1). 21 февраля 1850.;
М. А. Константиновскому. (1). 28 февраля 1850.;
В. А. Соллогубу. (1). 10 февраля 1849 / 2 марта 1850.;
Н. Н. Шереметевой. (1). после 11 марта 1849 / 1850.;
Н. Н. Шереметевой. (1). после 19 марта 1849 / 1850.;
А. Я. Булгакову. (1). 24 марта 1850.;
М. А. Константиновскому. (1). 24 марта 1850.;
Н. Я. Прокоповичу. (1). 29 марта 1850.;
В. А. Жуковскому. (1). Март 1850.;
Е. В. Гоголь. (1). Март—апрель 1850.;
А. М. Марковичу. (1). Апрель 1849 / 1850.;
Н. Н. Шереметевой. (1). Апрель 1849 / 1850.;
М. И. Гоголь. (1). Апрель 1850.;
А. А. Иванову. (1). Апрель 1850.;
П. А. Плетневу. (1). вторая половина апреля 1850.;
М. А. Константиновскому. (1). конец апреля 1850.;
М. А. Максимовичу. (1). конец апреля 1850.;
Н. Н. Шереметевой. (1). Май — июнь 1849 / начало мая 1850.;
Неустановленному лицу. (1). после 9 мая 1850.;
А. С., У. Г. Данилевским. (1). 14 мая 1850.;
М. И. Гоголь. (1). 15 мая 1850.;
М. А. Константиновскому. (1). середина мая 1850.;
М. И. Гоголь. (1). 24 мая 1850.;
С. М. Соллогуб. (1). 29 мая 1850.;
А. О. Армфельду. (1). Май — начало июня 1850.;
К. С. Аксакову. (1). конец мая — начало июня 1850.;
А. М. Вьельгорской. (1). весна 1850.;
А. С. Данилевскому. (1). 5 июня 1850.;
А. С. Стурдзе. (1). 6 июня 1850.;
М. И. Гоголь. (1). 9 июня 1850.;
С. Т. Аксакову. (1). 13 июня 1850.;
Иеромонаху Филарету. (1). 19 июня 1850.;
А. М. Марковичу. (1). 25 июня 1850.;
А. С. Данилевскому. (1). 26—30 июня 1850.;
А. М. Марковичу. (1). 27—30 июня 1850.;
Е. В. Гоголь. (1). 30 июня 1850.;
А. О. Смирновой. (1). 10 июля 1850.;
А. П. Толстому. (1). 10 июля 1850.;
С. П. Шевыреву. (1). 10 июля 1850.;
П. А. Григорову. (1). 18 июля 1850.;
А. О. Смирновой. (1). 18 июля 1850.;
С. П. Шевыреву. (1). 18 июля 1850.;
E. П. Репниной. (1). 1 августа 1850.;
