"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 9 декабря 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 11 декабря 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"С. Н. Толстому. (1). 15 декабря 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"С. Н. Толстому. (1). 22 декабря 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 24 декабря 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 17 января 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). конец февраля 1851.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 8 марта 1851.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 1 (15) марта 1851.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 1 (15) марта 1851.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"М. Н. Толстой. (1). 26 мая 1851.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 27 мая 1851.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"А. С. Оголину. (1). 30 мая 1851.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 27 мая 1851.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"А. С. Оголину. (1). 22 июня 1851.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 24 июня 1851.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 17 августа 1851.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 12 ноября 1851.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Н. Н. Толстому. (1). 10 декабря 1851.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 15 декабря 1851.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"С. Н. Толстому; М. М. Шишкиной. (1). 23 Декабря 1851.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 28 декабря 1851(3 января 1852).";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 6 января 1852.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"С. Н. Толстому. (1). 7 января 1852.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 12 января 1852.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 2 марта 1852.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"С. Н. Толстому. (1). 28 марта 1852.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 30 мая - 3 июня 1852.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"С. Н. Толстому. (1). 24 июня 1852.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 26 июня 1852.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Н. А. Некрасову. (1). 3 июля 1852.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 4 июля 1852.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 15 августа 1852.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Н. А. Некрасову. (1). 15 сентября 1852.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 15 августа 1852.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 29 октября 1852.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Н. А. Некрасову. (1). 18 ноября 1852.";;
